threshold,recall,fpr
0.0,1.0,1.0
0.025,0.9706,0.1773
0.05,0.9685,0.1037
0.075,0.9642,0.0665
0.1,0.9588,0.044
0.125,0.9515,0.0317
0.15,0.9445,0.0235
0.175,0.936,0.0169
0.2,0.9261,0.0128
0.225,0.915,0.0096
0.25,0.9017,0.0076
0.275,0.8881,0.0058
0.3,0.8719,0.0044
0.325,0.8528,0.003
0.35,0.8329,0.0021
0.375,0.8126,0.0017
0.4,0.7903,0.0014
0.425,0.7682,0.0008
0.45,0.7427,0.0005
0.475,0.7129,0.0002
0.5,0.6812,0.0002
0.525,0.6495,0.0002
0.55,0.6146,0.0001
0.575,0.581,0.0001
0.6,0.541,0.0001
0.625,0.5018,0.0001
0.65,0.4625,0.0
0.675,0.4253,0.0
0.7,0.3859,0.0
0.725,0.3464,0.0
0.75,0.3093,0.0
0.775,0.273,0.0
0.8,0.2396,0.0
0.825,0.2068,0.0
0.85,0.1734,0.0
0.875,0.1452,0.0
0.9,0.1205,0.0
0.925,0.0979,0.0
0.95,0.0814,0.0
0.975,0.067,0.0
1.0,0.0578,0.0
